headline,url,publisher,date,stock
Apple faces supply chain issues,https://news.example.com/40,MarketWatch,2024-11-01,MSFT
Apple faces supply chain issues,https://news.example.com/41,Yahoo Finance,2024-07-22,TSLA
Google ad revenue slows down,https://news.example.com/42,Reuters,2024-05-03,AMZN
Apple faces supply chain issues,https://news.example.com/43,Yahoo Finance,2024-09-10,AMZN
Tesla cuts prices to boost demand,https://news.example.com/44,CNBC,2024-11-14,AAPL
Amazon expands logistics network,https://news.example.com/45,CNBC,2024-09-16,GOOGL
Google announces AI breakthrough,https://news.example.com/46,CNBC,2024-05-25,MSFT
Google announces AI breakthrough,https://news.example.com/47,Bloomberg,2024-09-18,TSLA
Google announces AI breakthrough,https://news.example.com/48,Reuters,2024-08-16,AMZN
Microsoft acquires AI startup,https://news.example.com/49,Reuters,2024-10-11,AMZN
Apple faces supply chain issues,https://news.example.com/50,Bloomberg,2024-02-04,AAPL
Tesla stock surges after delivery numbers,https://news.example.com/51,CNBC,2024-02-09,MSFT
Tesla cuts prices to boost demand,https://news.example.com/52,Yahoo Finance,2024-06-11,AMZN
Apple faces supply chain issues,https://news.example.com/53,Yahoo Finance,2024-12-21,TSLA
Microsoft acquires AI startup,https://news.example.com/54,CNBC,2024-02-12,AMZN
Tesla stock surges after delivery numbers,https://news.example.com/55,Reuters,2024-03-29,AAPL
Amazon expands logistics network,https://news.example.com/56,Bloomberg,2024-01-15,AMZN
Tesla stock surges after delivery numbers,https://news.example.com/57,Yahoo Finance,2024-02-10,GOOGL
Tesla stock surges after delivery numbers,https://news.example.com/58,Yahoo Finance,2024-08-02,AAPL
Amazon faces regulatory pressure in EU,https://news.example.com/59,MarketWatch,2024-09-01,AAPL
Apple reports strong quarterly earnings,https://news.example.com/60,Reuters,2024-05-24,AMZN
Google ad revenue slows down,https://news.example.com/61,CNBC,2024-07-19,MSFT
Amazon expands logistics network,https://news.example.com/62,Reuters,2024-06-18,GOOGL
Microsoft cloud revenue exceeds expectations,https://news.example.com/63,MarketWatch,2024-09-13,AMZN
Apple faces supply chain issues,https://news.example.com/64,Yahoo Finance,2024-03-17,TSLA
Microsoft acquires AI startup,https://news.example.com/65,Reuters,2024-04-05,GOOGL
Tesla cuts prices to boost demand,https://news.example.com/66,MarketWatch,2024-12-07,MSFT
Google announces AI breakthrough,https://news.example.com/67,MarketWatch,2024-07-10,AMZN
Apple reports strong quarterly earnings,https://news.example.com/68,CNBC,2024-01-30,TSLA
Apple reports strong quarterly earnings,https://news.example.com/69,Yahoo Finance,2024-10-06,AMZN
Amazon expands logistics network,https://news.example.com/70,Reuters,2024-03-27,TSLA
Apple faces supply chain issues,https://news.example.com/71,MarketWatch,2024-09-12,GOOGL
Amazon expands logistics network,https://news.example.com/72,Yahoo Finance,2024-05-25,TSLA
Amazon expands logistics network,https://news.example.com/73,Reuters,2024-05-27,GOOGL
Apple reports strong quarterly earnings,https://news.example.com/74,Yahoo Finance,2024-12-07,TSLA
Microsoft acquires AI startup,https://news.example.com/75,MarketWatch,2024-11-23,AMZN
Tesla cuts prices to boost demand,https://news.example.com/76,CNBC,2024-09-12,GOOGL
Apple faces supply chain issues,https://news.example.com/77,Bloomberg,2024-02-09,AMZN
Amazon faces regulatory pressure in EU,https://news.example.com/78,CNBC,2024-12-05,TSLA
Microsoft acquires AI startup,https://news.example.com/79,Reuters,2024-12-03,AMZN
Microsoft acquires AI startup,https://news.example.com/80,CNBC,2024-10-19,AAPL
Google ad revenue slows down,https://news.example.com/81,Yahoo Finance,2024-11-28,AMZN
Microsoft acquires AI startup,https://news.example.com/82,Yahoo Finance,2024-07-02,TSLA
Apple reports strong quarterly earnings,https://news.example.com/83,CNBC,2024-10-05,GOOGL
Apple faces supply chain issues,https://news.example.com/84,Bloomberg,2024-03-06,AAPL
Apple reports strong quarterly earnings,https://news.example.com/85,MarketWatch,2024-11-21,TSLA
Amazon expands logistics network,https://news.example.com/86,Reuters,2024-04-13,MSFT
Google ad revenue slows down,https://news.example.com/87,Bloomberg,2024-04-18,GOOGL
Microsoft cloud revenue exceeds expectations,https://news.example.com/88,Yahoo Finance,2024-04-28,AMZN
Apple reports strong quarterly earnings,https://news.example.com/89,CNBC,2024-11-08,AAPL
Microsoft cloud revenue exceeds expectations,https://news.example.com/90,Yahoo Finance,2024-06-19,TSLA
Tesla cuts prices to boost demand,https://news.example.com/91,Yahoo Finance,2024-05-17,TSLA
Tesla stock surges after delivery numbers,https://news.example.com/92,Reuters,2024-07-08,AMZN
Microsoft cloud revenue exceeds expectations,https://news.example.com/93,Bloomberg,2024-10-24,GOOGL
Google announces AI breakthrough,https://news.example.com/94,Reuters,2024-04-30,MSFT
Google ad revenue slows down,https://news.example.com/95,CNBC,2024-12-31,AAPL
Tesla stock surges after delivery numbers,https://news.example.com/96,Bloomberg,2024-07-07,AMZN
Microsoft acquires AI startup,https://news.example.com/97,MarketWatch,2024-06-04,MSFT
Microsoft cloud revenue exceeds expectations,https://news.example.com/98,Bloomberg,2024-08-05,AAPL
Apple faces supply chain issues,https://news.example.com/99,CNBC,2024-08-11,MSFT
Microsoft cloud revenue exceeds expectations,https://news.example.com/100,Bloomberg,2024-10-29,AAPL
Amazon faces regulatory pressure in EU,https://news.example.com/101,CNBC,2024-09-24,GOOGL
Tesla stock surges after delivery numbers,https://news.example.com/102,CNBC,2024-02-17,GOOGL
Google ad revenue slows down,https://news.example.com/103,Yahoo Finance,2024-03-25,GOOGL
Google announces AI breakthrough,https://news.example.com/104,Yahoo Finance,2024-10-20,AMZN
Google ad revenue slows down,https://news.example.com/105,Yahoo Finance,2024-04-22,AMZN
Tesla stock surges after delivery numbers,https://news.example.com/106,Bloomberg,2024-07-21,GOOGL
Amazon faces regulatory pressure in EU,https://news.example.com/107,CNBC,2024-03-10,AMZN
Apple reports strong quarterly earnings,https://news.example.com/108,MarketWatch,2024-12-27,AAPL
Microsoft cloud revenue exceeds expectations,https://news.example.com/109,Yahoo Finance,2024-05-29,AMZN
Apple faces supply chain issues,https://news.example.com/110,Bloomberg,2024-03-17,TSLA
Microsoft cloud revenue exceeds expectations,https://news.example.com/111,Yahoo Finance,2024-09-28,MSFT
Tesla stock surges after delivery numbers,https://news.example.com/112,Bloomberg,2024-04-07,MSFT
Tesla cuts prices to boost demand,https://news.example.com/113,CNBC,2024-06-23,AMZN
Amazon expands logistics network,https://news.example.com/114,Reuters,2024-10-31,AAPL
Apple faces supply chain issues,https://news.example.com/115,CNBC,2024-09-05,TSLA
Apple faces supply chain issues,https://news.example.com/116,CNBC,2024-11-20,MSFT
Amazon expands logistics network,https://news.example.com/117,Reuters,2024-03-08,TSLA
Amazon expands logistics network,https://news.example.com/118,Reuters,2024-11-27,AAPL
Google ad revenue slows down,https://news.example.com/119,Reuters,2024-12-10,GOOGL
Apple faces supply chain issues,https://news.example.com/120,MarketWatch,2024-12-11,AAPL
Amazon expands logistics network,https://news.example.com/121,Bloomberg,2024-04-26,TSLA
Tesla stock surges after delivery numbers,https://news.example.com/122,Bloomberg,2024-09-07,AMZN
Amazon expands logistics network,https://news.example.com/123,CNBC,2024-03-17,MSFT
Tesla cuts prices to boost demand,https://news.example.com/124,Reuters,2024-05-19,AAPL
Microsoft cloud revenue exceeds expectations,https://news.example.com/125,CNBC,2024-02-03,AAPL
Amazon expands logistics network,https://news.example.com/126,Bloomberg,2024-01-22,TSLA
Microsoft acquires AI startup,https://news.example.com/127,CNBC,2024-01-30,AMZN
Apple reports strong quarterly earnings,https://news.example.com/128,MarketWatch,2024-12-11,AMZN
Google ad revenue slows down,https://news.example.com/129,MarketWatch,2024-05-16,AAPL
Tesla stock surges after delivery numbers,https://news.example.com/130,MarketWatch,2024-05-20,AAPL
Tesla cuts prices to boost demand,https://news.example.com/131,CNBC,2024-07-22,AMZN
Microsoft cloud revenue exceeds expectations,https://news.example.com/132,Reuters,2024-12-28,AAPL
Microsoft acquires AI startup,https://news.example.com/133,MarketWatch,2024-10-16,TSLA
Apple reports strong quarterly earnings,https://news.example.com/134,Yahoo Finance,2024-01-17,AMZN
Google announces AI breakthrough,https://news.example.com/135,CNBC,2024-03-22,AAPL
Microsoft cloud revenue exceeds expectations,https://news.example.com/136,MarketWatch,2024-05-13,AMZN
Amazon faces regulatory pressure in EU,https://news.example.com/137,Reuters,2024-03-08,MSFT
Apple reports strong quarterly earnings,https://news.example.com/138,MarketWatch,2024-01-18,MSFT
Microsoft cloud revenue exceeds expectations,https://news.example.com/139,MarketWatch,2024-10-15,GOOGL
Apple reports strong quarterly earnings,https://news.example.com/140,CNBC,2024-03-02,GOOGL
Microsoft acquires AI startup,https://news.example.com/141,Reuters,2024-06-06,MSFT
Apple reports strong quarterly earnings,https://news.example.com/142,MarketWatch,2024-08-08,GOOGL
Microsoft acquires AI startup,https://news.example.com/143,MarketWatch,2024-02-10,AMZN
Tesla stock surges after delivery numbers,https://news.example.com/144,Reuters,2024-11-14,MSFT
Google announces AI breakthrough,https://news.example.com/145,Bloomberg,2024-10-11,MSFT
Apple reports strong quarterly earnings,https://news.example.com/146,Reuters,2024-04-27,TSLA
Tesla cuts prices to boost demand,https://news.example.com/147,Bloomberg,2024-05-24,MSFT
Tesla stock surges after delivery numbers,https://news.example.com/148,Bloomberg,2024-09-15,GOOGL
Tesla cuts prices to boost demand,https://news.example.com/149,Yahoo Finance,2024-04-27,TSLA
Tesla cuts prices to boost demand,https://news.example.com/150,MarketWatch,2024-08-22,AMZN
Google ad revenue slows down,https://news.example.com/151,CNBC,2024-07-13,TSLA
Google ad revenue slows down,https://news.example.com/152,Yahoo Finance,2024-06-09,TSLA
Google ad revenue slows down,https://news.example.com/153,Reuters,2024-01-24,MSFT
Google announces AI breakthrough,https://news.example.com/154,MarketWatch,2024-09-29,AMZN
Google announces AI breakthrough,https://news.example.com/155,CNBC,2024-08-13,GOOGL
Apple reports strong quarterly earnings,https://news.example.com/156,CNBC,2024-06-20,AMZN
Google announces AI breakthrough,https://news.example.com/157,CNBC,2024-11-13,AMZN
Tesla cuts prices to boost demand,https://news.example.com/158,Reuters,2024-03-11,AMZN
Apple faces supply chain issues,https://news.example.com/159,Yahoo Finance,2024-04-25,GOOGL
Google announces AI breakthrough,https://news.example.com/160,MarketWatch,2024-05-30,AAPL
Apple reports strong quarterly earnings,https://news.example.com/161,MarketWatch,2024-09-12,AAPL
Amazon expands logistics network,https://news.example.com/162,MarketWatch,2024-02-26,MSFT
Apple reports strong quarterly earnings,https://news.example.com/163,MarketWatch,2024-01-23,AAPL
Microsoft cloud revenue exceeds expectations,https://news.example.com/164,Yahoo Finance,2024-03-12,AAPL
Amazon expands logistics network,https://news.example.com/165,Yahoo Finance,2024-05-16,GOOGL
Google announces AI breakthrough,https://news.example.com/166,CNBC,2024-08-15,TSLA
Apple faces supply chain issues,https://news.example.com/167,Reuters,2024-01-13,MSFT
Google announces AI breakthrough,https://news.example.com/168,Bloomberg,2024-06-04,TSLA
Microsoft acquires AI startup,https://news.example.com/169,Reuters,2024-05-21,MSFT
Tesla stock surges after delivery numbers,https://news.example.com/170,CNBC,2024-12-30,TSLA
Apple faces supply chain issues,https://news.example.com/171,MarketWatch,2024-08-07,TSLA
Tesla stock surges after delivery numbers,https://news.example.com/172,Reuters,2024-08-17,AAPL
Apple reports strong quarterly earnings,https://news.example.com/173,CNBC,2024-11-04,TSLA
Amazon expands logistics network,https://news.example.com/174,Bloomberg,2024-09-11,AMZN
Microsoft acquires AI startup,https://news.example.com/175,Bloomberg,2024-11-09,AMZN
Apple faces supply chain issues,https://news.example.com/176,CNBC,2024-07-19,TSLA
Microsoft acquires AI startup,https://news.example.com/177,Reuters,2024-06-09,GOOGL
Microsoft cloud revenue exceeds expectations,https://news.example.com/178,Yahoo Finance,2024-02-13,GOOGL
Apple reports strong quarterly earnings,https://news.example.com/179,MarketWatch,2024-09-03,TSLA
Google ad revenue slows down,https://news.example.com/180,Yahoo Finance,2024-01-18,TSLA
Tesla cuts prices to boost demand,https://news.example.com/181,MarketWatch,2024-01-19,GOOGL
Tesla stock surges after delivery numbers,https://news.example.com/182,Bloomberg,2024-07-12,AMZN
Microsoft acquires AI startup,https://news.example.com/183,Reuters,2024-10-10,AAPL
Amazon expands logistics network,https://news.example.com/184,Bloomberg,2024-02-20,AAPL
Amazon expands logistics network,https://news.example.com/185,MarketWatch,2024-02-24,MSFT
Apple reports strong quarterly earnings,https://news.example.com/186,CNBC,2024-05-23,AAPL
Microsoft acquires AI startup,https://news.example.com/187,Reuters,2024-05-11,TSLA
Google ad revenue slows down,https://news.example.com/188,Yahoo Finance,2024-07-10,MSFT
Apple reports strong quarterly earnings,https://news.example.com/189,CNBC,2024-06-30,GOOGL
Apple reports strong quarterly earnings,https://news.example.com/190,CNBC,2024-03-06,MSFT
Google announces AI breakthrough,https://news.example.com/191,Bloomberg,2024-12-19,TSLA
Microsoft acquires AI startup,https://news.example.com/192,Reuters,2024-09-20,MSFT
Apple faces supply chain issues,https://news.example.com/193,Yahoo Finance,2024-09-06,MSFT
Tesla stock surges after delivery numbers,https://news.example.com/194,Yahoo Finance,2024-12-05,AAPL
Tesla cuts prices to boost demand,https://news.example.com/195,CNBC,2024-04-12,AAPL
Tesla stock surges after delivery numbers,https://news.example.com/196,Reuters,2024-04-25,TSLA
Tesla stock surges after delivery numbers,https://news.example.com/197,Yahoo Finance,2024-07-18,MSFT
Tesla cuts prices to boost demand,https://news.example.com/198,Bloomberg,2024-11-10,AAPL
Microsoft acquires AI startup,https://news.example.com/199,Yahoo Finance,2024-04-02,AAPL
new product launch drives optimism,https://finance.yahoo.com/news/msft-0,CNBC,2024-02-26,MSFT
new product launch drives optimism,https://finance.yahoo.com/news/tsla-1,Reuters,2024-02-24,TSLA
shares fall due to supply chain issues,https://finance.yahoo.com/news/tsla-2,Bloomberg,2024-03-20,TSLA
company announces AI innovation,https://finance.yahoo.com/news/amzn-3,Yahoo Finance,2024-01-30,AMZN
investors respond to quarterly results,https://finance.yahoo.com/news/aapl-4,Reuters,2024-02-19,AAPL
shares fall due to supply chain issues,https://finance.yahoo.com/news/googl-5,Reuters,2024-03-28,GOOGL
stock rises after strong earnings report,https://finance.yahoo.com/news/aapl-6,CNBC,2024-01-18,AAPL
investors respond to quarterly results,https://finance.yahoo.com/news/aapl-7,Yahoo Finance,2024-02-25,AAPL
stock rises after strong earnings report,https://finance.yahoo.com/news/googl-8,CNBC,2024-03-23,GOOGL
shares fall due to supply chain issues,https://finance.yahoo.com/news/aapl-9,Reuters,2024-02-26,AAPL
investors respond to quarterly results,https://finance.yahoo.com/news/tsla-10,MarketWatch,2024-02-12,TSLA
company announces AI innovation,https://finance.yahoo.com/news/msft-11,MarketWatch,2024-03-27,MSFT
new product launch drives optimism,https://finance.yahoo.com/news/amzn-12,Yahoo Finance,2024-01-26,AMZN
investors respond to quarterly results,https://finance.yahoo.com/news/tsla-13,Reuters,2024-02-07,TSLA
shares fall due to supply chain issues,https://finance.yahoo.com/news/tsla-14,Yahoo Finance,2024-01-06,TSLA
regulatory pressure impacts stock,https://finance.yahoo.com/news/aapl-15,Bloomberg,2024-01-17,AAPL
stock rises after strong earnings report,https://finance.yahoo.com/news/aapl-16,Bloomberg,2024-01-29,AAPL
new product launch drives optimism,https://finance.yahoo.com/news/googl-17,MarketWatch,2024-02-09,GOOGL
shares fall due to supply chain issues,https://finance.yahoo.com/news/msft-18,MarketWatch,2024-01-24,MSFT
strong revenue boosts confidence,https://finance.yahoo.com/news/tsla-19,CNBC,2024-01-16,TSLA
shares fall due to supply chain issues,https://finance.yahoo.com/news/amzn-20,CNBC,2024-01-04,AMZN
shares fall due to supply chain issues,https://finance.yahoo.com/news/googl-21,Reuters,2024-01-03,GOOGL
regulatory pressure impacts stock,https://finance.yahoo.com/news/amzn-22,Bloomberg,2024-02-05,AMZN
regulatory pressure impacts stock,https://finance.yahoo.com/news/tsla-23,CNBC,2024-02-29,TSLA
company announces AI innovation,https://finance.yahoo.com/news/msft-24,Yahoo Finance,2024-03-03,MSFT
investors respond to quarterly results,https://finance.yahoo.com/news/aapl-25,Yahoo Finance,2024-01-19,AAPL
company announces AI innovation,https://finance.yahoo.com/news/tsla-26,Reuters,2024-02-23,TSLA
new product launch drives optimism,https://finance.yahoo.com/news/aapl-27,Reuters,2024-02-27,AAPL
regulatory pressure impacts stock,https://finance.yahoo.com/news/amzn-28,CNBC,2024-03-12,AMZN
new product launch drives optimism,https://finance.yahoo.com/news/tsla-29,MarketWatch,2024-02-12,TSLA
shares fall due to supply chain issues,https://finance.yahoo.com/news/tsla-30,MarketWatch,2024-01-09,TSLA
new product launch drives optimism,https://finance.yahoo.com/news/aapl-31,MarketWatch,2024-02-24,AAPL
stock rises after strong earnings report,https://finance.yahoo.com/news/googl-32,Yahoo Finance,2024-03-25,GOOGL
stock rises after strong earnings report,https://finance.yahoo.com/news/googl-33,CNBC,2024-03-11,GOOGL
strong revenue boosts confidence,https://finance.yahoo.com/news/amzn-34,MarketWatch,2024-03-11,AMZN
new product launch drives optimism,https://finance.yahoo.com/news/tsla-35,Yahoo Finance,2024-01-14,TSLA
investors respond to quarterly results,https://finance.yahoo.com/news/aapl-36,Reuters,2024-02-05,AAPL
strong revenue boosts confidence,https://finance.yahoo.com/news/googl-37,CNBC,2024-02-13,GOOGL
shares fall due to supply chain issues,https://finance.yahoo.com/news/amzn-38,CNBC,2024-03-04,AMZN
market reacts to tech sector growth,https://finance.yahoo.com/news/amzn-39,MarketWatch,2024-03-01,AMZN
regulatory pressure impacts stock,https://finance.yahoo.com/news/tsla-40,Yahoo Finance,2024-02-27,TSLA
regulatory pressure impacts stock,https://finance.yahoo.com/news/googl-41,MarketWatch,2024-03-13,GOOGL
new product launch drives optimism,https://finance.yahoo.com/news/msft-42,Yahoo Finance,2024-03-04,MSFT
investors respond to quarterly results,https://finance.yahoo.com/news/googl-43,Bloomberg,2024-03-01,GOOGL
new product launch drives optimism,https://finance.yahoo.com/news/aapl-44,Reuters,2024-03-25,AAPL
investors respond to quarterly results,https://finance.yahoo.com/news/googl-45,MarketWatch,2024-01-13,GOOGL
company announces AI innovation,https://finance.yahoo.com/news/msft-46,Bloomberg,2024-03-08,MSFT
stock rises after strong earnings report,https://finance.yahoo.com/news/msft-47,Yahoo Finance,2024-03-22,MSFT
shares fall due to supply chain issues,https://finance.yahoo.com/news/tsla-48,MarketWatch,2024-02-05,TSLA
investors respond to quarterly results,https://finance.yahoo.com/news/aapl-49,Yahoo Finance,2024-03-02,AAPL
company announces AI innovation,https://finance.yahoo.com/news/googl-50,CNBC,2024-02-14,GOOGL
investors respond to quarterly results,https://finance.yahoo.com/news/msft-51,Reuters,2024-03-13,MSFT
investors respond to quarterly results,https://finance.yahoo.com/news/googl-52,Yahoo Finance,2024-02-17,GOOGL
market reacts to tech sector growth,https://finance.yahoo.com/news/msft-53,Yahoo Finance,2024-01-29,MSFT
new product launch drives optimism,https://finance.yahoo.com/news/msft-54,MarketWatch,2024-02-07,MSFT
company announces AI innovation,https://finance.yahoo.com/news/googl-55,Bloomberg,2024-02-14,GOOGL
strong revenue boosts confidence,https://finance.yahoo.com/news/aapl-56,Yahoo Finance,2024-02-29,AAPL
stock rises after strong earnings report,https://finance.yahoo.com/news/msft-57,Yahoo Finance,2024-02-08,MSFT
stock rises after strong earnings report,https://finance.yahoo.com/news/msft-58,Reuters,2024-02-20,MSFT
regulatory pressure impacts stock,https://finance.yahoo.com/news/googl-59,Bloomberg,2024-02-08,GOOGL
company announces AI innovation,https://finance.yahoo.com/news/amzn-60,Bloomberg,2024-02-09,AMZN
company announces AI innovation,https://finance.yahoo.com/news/msft-61,MarketWatch,2024-02-09,MSFT
stock rises after strong earnings report,https://finance.yahoo.com/news/tsla-62,CNBC,2024-02-19,TSLA
investors respond to quarterly results,https://finance.yahoo.com/news/msft-63,Yahoo Finance,2024-03-30,MSFT
investors respond to quarterly results,https://finance.yahoo.com/news/googl-64,MarketWatch,2024-02-08,GOOGL
shares fall due to supply chain issues,https://finance.yahoo.com/news/tsla-65,MarketWatch,2024-02-11,TSLA
stock rises after strong earnings report,https://finance.yahoo.com/news/msft-66,Reuters,2024-02-20,MSFT
shares fall due to supply chain issues,https://finance.yahoo.com/news/googl-67,Bloomberg,2024-01-13,GOOGL
company announces AI innovation,https://finance.yahoo.com/news/googl-68,MarketWatch,2024-02-02,GOOGL
investors respond to quarterly results,https://finance.yahoo.com/news/googl-69,Bloomberg,2024-03-17,GOOGL
company announces AI innovation,https://finance.yahoo.com/news/aapl-70,Yahoo Finance,2024-03-09,AAPL
stock rises after strong earnings report,https://finance.yahoo.com/news/googl-71,CNBC,2024-02-18,GOOGL
investors respond to quarterly results,https://finance.yahoo.com/news/amzn-72,CNBC,2024-01-15,AMZN
market reacts to tech sector growth,https://finance.yahoo.com/news/googl-73,Reuters,2024-01-05,GOOGL
company announces AI innovation,https://finance.yahoo.com/news/msft-74,Bloomberg,2024-02-25,MSFT
new product launch drives optimism,https://finance.yahoo.com/news/amzn-75,Bloomberg,2024-02-19,AMZN
market reacts to tech sector growth,https://finance.yahoo.com/news/tsla-76,Reuters,2024-01-04,TSLA
regulatory pressure impacts stock,https://finance.yahoo.com/news/msft-77,MarketWatch,2024-02-23,MSFT
market reacts to tech sector growth,https://finance.yahoo.com/news/googl-78,Yahoo Finance,2024-01-06,GOOGL
market reacts to tech sector growth,https://finance.yahoo.com/news/amzn-79,Reuters,2024-01-13,AMZN
investors respond to quarterly results,https://finance.yahoo.com/news/tsla-80,Reuters,2024-02-29,TSLA
stock rises after strong earnings report,https://finance.yahoo.com/news/amzn-81,MarketWatch,2024-01-17,AMZN
strong revenue boosts confidence,https://finance.yahoo.com/news/tsla-82,Yahoo Finance,2024-03-05,TSLA
market reacts to tech sector growth,https://finance.yahoo.com/news/googl-83,CNBC,2024-03-02,GOOGL
new product launch drives optimism,https://finance.yahoo.com/news/msft-84,Bloomberg,2024-02-26,MSFT
market reacts to tech sector growth,https://finance.yahoo.com/news/amzn-85,Bloomberg,2024-02-20,AMZN
company announces AI innovation,https://finance.yahoo.com/news/msft-86,CNBC,2024-02-03,MSFT
shares fall due to supply chain issues,https://finance.yahoo.com/news/amzn-87,MarketWatch,2024-02-29,AMZN
market reacts to tech sector growth,https://finance.yahoo.com/news/googl-88,Reuters,2024-01-11,GOOGL
investors respond to quarterly results,https://finance.yahoo.com/news/googl-89,Bloomberg,2024-01-23,GOOGL
new product launch drives optimism,https://finance.yahoo.com/news/amzn-90,Reuters,2024-02-15,AMZN
company announces AI innovation,https://finance.yahoo.com/news/amzn-91,Bloomberg,2024-03-30,AMZN
regulatory pressure impacts stock,https://finance.yahoo.com/news/tsla-92,Yahoo Finance,2024-03-05,TSLA
new product launch drives optimism,https://finance.yahoo.com/news/tsla-93,Reuters,2024-01-12,TSLA
shares fall due to supply chain issues,https://finance.yahoo.com/news/msft-94,CNBC,2024-02-25,MSFT
company announces AI innovation,https://finance.yahoo.com/news/tsla-95,Yahoo Finance,2024-02-04,TSLA
strong revenue boosts confidence,https://finance.yahoo.com/news/msft-96,Reuters,2024-01-09,MSFT
company announces AI innovation,https://finance.yahoo.com/news/tsla-97,Bloomberg,2024-01-14,TSLA
strong revenue boosts confidence,https://finance.yahoo.com/news/msft-98,MarketWatch,2024-01-17,MSFT
new product launch drives optimism,https://finance.yahoo.com/news/aapl-99,Bloomberg,2024-03-02,AAPL
market reacts to tech sector growth,https://finance.yahoo.com/news/amzn-100,MarketWatch,2024-02-21,AMZN
investors respond to quarterly results,https://finance.yahoo.com/news/amzn-101,Bloomberg,2024-01-25,AMZN
company announces AI innovation,https://finance.yahoo.com/news/googl-102,MarketWatch,2024-02-16,GOOGL
stock rises after strong earnings report,https://finance.yahoo.com/news/tsla-103,CNBC,2024-01-04,TSLA
strong revenue boosts confidence,https://finance.yahoo.com/news/msft-104,CNBC,2024-01-05,MSFT
regulatory pressure impacts stock,https://finance.yahoo.com/news/msft-105,Reuters,2024-03-13,MSFT
strong revenue boosts confidence,https://finance.yahoo.com/news/googl-106,Yahoo Finance,2024-02-15,GOOGL
shares fall due to supply chain issues,https://finance.yahoo.com/news/amzn-107,Bloomberg,2024-03-24,AMZN
stock rises after strong earnings report,https://finance.yahoo.com/news/tsla-108,Reuters,2024-01-16,TSLA
